A1-LCD-hub-timefreq-normalized,FUS-LCD-hub-timefreq-normalized,EWSR1-LCD-hub-timefreq-normalized,TIA1-LCD-hub-timefreq-normalized
0.065,0.03,0.085,0.06
0.045,0.06,0.105,0.025
0.07,0.03,0.015,0.04
0.065,0.015,0.025,0.025
0.07,0.015,0.035,0.005
0.045,0.025,0.005,0.065
0.015,0.07,0.01,0.075
0.025,0.075,0,0.035
0.005,0.025,0.065,0.05
0.05,0.06,0.005,0.045
0.03,0.04,0.005,0.025
0.045,0.035,0.075,0.07
0.04,0.025,0.02,0.03
0.01,0.065,0.1,0.09
0.025,0.035,0.055,0.015
0.02,0.025,0.05,0.03
0.05,0.035,0.035,0.035
0.055,0.045,0.07,0.07
0.025,0.135,0,0.05
0.055,0.01,0.02,0.045
0.09,0.07,0.02,0.05
0.045,0.06,0.04,0.045
0.05,0.035,0.01,0.07
0.025,0.025,0.04,0.03
0.015,0.055,0.065,0.045
0.03,0.02,0.03,0.025
0.04,0.035,0,0.05
0.05,0.11,0.02,0.04
0.03,0.03,0.07,0.065
0.08,0.015,0.015,0.075
0.015,0.025,0.01,0.045
0.01,0.015,0.02,0.07
0.04,0.035,0.035,0.05
0.01,0.13,0.1,0.02
0.065,0.095,0.01,0.03
0.065,0.055,0.005,0.03
0.055,0.14,0.01,0.03
0.025,0.06,0.005,0.025
0.02,0.035,0.05,0.04
0.05,0.025,0.01,0.065
0.055,0.035,0.08,0.02
0.015,0.055,0.015,0.065
0.035,0.045,0.04,0.025
0.035,0.075,0.01,0.065
0.05,0.085,0.095,0.06
0.065,0.025,0,0.055
0.045,0.065,0.05,0.07
0.075,0.03,0.045,0.01
0.035,0.045,0.045,0.025
0.05,0.05,0.045,0.02
0.035,0.02,0.035,0.05
0.035,0.025,0.02,0.04
0.02,0.025,0.15,0.02
0.005,0.025,0.075,0.07
0.07,0.025,0.01,0.05
0.03,0.065,0.03,0.06
0.01,0.07,0,0.06
0.065,0.045,0.015,0.04
0.04,0.02,0.025,0.01
0.055,0.05,0.03,0.035
0.02,0.025,0.105,0.06
0.03,0.03,0.035,0.02
0.06,0.055,0.005,0.05
0.05,0.105,0.06,0.06
0.035,0.045,0.03,0.05
0.07,0.01,0.08,0.04
0.065,0.14,0.01,0.035
0.02,0.095,0.075,0.085
0.02,0.02,0.03,0.045
0.015,0.025,0.035,0.09
0.08,0.035,0.085,0.095
0.07,0.03,0,0.025
0.045,0.005,0.08,0.065
0.085,0.03,0.055,0.03
0.045,0.045,0,0.06
0.04,0.025,0.1,0.075
0.075,0.015,0.035,0.05
0.05,0.035,0.005,0.045
0.065,0.04,0.02,0.035
0.045,0.09,0.1,0.06
0.03,0.015,0.025,0.025
0.09,0.065,0.09,0.05
0.11,0.1,0.01,0.05
0.04,0.045,0.015,0.05
0.1,0.005,0.05,0.075
0.025,0.01,0.02,0.045
0.015,0.04,0.06,0.015
0.035,0.03,0.005,0.055
0.015,0.03,0.015,0.025
0.02,0.02,0.035,0.08
0.095,0.03,0.03,0.045
0.06,0.03,0.08,0.02
0.015,0.035,0.015,0.03
0.045,0.075,0.03,0.025
0.04,0.025,0.095,0.065
0.015,0.015,0.005,0.03
